日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-03-12,'600928,西安银行,12.08,12.79,11.2,11.35,11.95,0.13,1.0879,56.1539,249572951,2984122616.0,53688888895.6,5368888895.6
2019-03-11,'600928,西安银行,11.95,11.95,10.23,10.91,10.86,1.09,10.0368,69.9203,310756682,3419543788.0,53111111117.8,5311111117.75
2019-03-08,'600928,西安银行,10.86,10.86,10.86,10.86,9.87,0.99,10.0304,5.255,23355708,253642989.0,48266666672.7,4826666672.7
2019-03-07,'600928,西安银行,9.87,9.87,9.87,9.87,8.97,0.9,10.0334,0.4481,1991695,19658030.0,43866666672.2,4386666672.15
2019-03-06,'600928,西安银行,8.97,8.97,8.97,8.97,8.15,0.82,10.0613,0.4122,1831815,16431381.0,39866666671.7,3986666671.65
2019-03-05,'600928,西安银行,8.15,8.15,8.15,8.15,7.41,0.74,9.9865,0.2329,1035085,8435943.0,36222222226.8,3622222226.75
2019-03-04,'600928,西安银行,7.41,7.41,7.41,7.41,6.74,0.67,9.9407,0.1047,465168,3446895.0,32933333337.5,3293333337.45
2019-03-01,'600928,N西行,6.74,6.74,5.62,5.62,4.68,2.06,44.0171,0.0993,441427,2967378.0,29955555559.3,2995555559.3
