日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-03-12,'601975,ST长油,2.87,2.87,2.77,2.78,2.73,0.14,5.1282,8.099,153763892,436182480.0,14417158068.9,5448844116.59
2019-03-11,'601975,ST长油,2.73,2.91,2.64,2.91,2.77,-0.04,-1.444,10.1302,192327916,532575681.0,13713882065.5,5183046842.61
2019-03-08,'601975,ST长油,2.77,2.77,2.77,2.77,2.64,0.13,4.9242,0.764,14504067,40176266.0,13914818066.5,5258988920.89
2019-03-07,'601975,ST长油,2.64,2.64,2.57,2.6,2.51,0.13,5.1793,1.9931,37839867,98911289.0,13261776063.4,5012177166.48
2019-03-06,'601975,ST长油,2.51,2.51,2.38,2.39,2.39,0.12,5.0209,5.7616,109386522,271024458.0,12608734060.2,4765365412.07
2019-03-05,'601975,ST长油,2.39,2.39,2.36,2.37,2.39,0.0,0.0,3.7071,70380330,167316751.0,12005926057.4,4537539177.23
2019-03-04,'601975,ST长油,2.39,2.42,2.38,2.39,2.39,0.0,0.0,5.1702,98159257,235437995.0,12005926057.4,4537539177.23
2019-03-01,'601975,ST长油,2.39,2.41,2.36,2.39,2.38,0.01,0.4202,3.2845,62358492,148346688.0,12005926057.4,4537539177.23
2019-02-28,'601975,ST长油,2.38,2.42,2.33,2.34,2.33,0.05,2.1459,4.5352,86102980,204828673.0,11955692057.1,4518553657.66
2019-02-27,'601975,ST长油,2.33,2.36,2.3,2.31,2.32,0.01,0.431,4.982,94584947,220981533.0,11704522055.9,4423626059.81
2019-02-26,'601975,ST长油,2.32,2.39,2.29,2.31,2.32,0.0,0.0,6.7749,128624107,299004778.0,11654288055.7,4404640540.24
2019-02-25,'601975,ST长油,2.32,2.32,2.26,2.26,2.26,0.06,2.6549,5.2658,99974021,229325983.0,11654288055.7,4404640540.24
2019-02-22,'601975,ST长油,2.26,2.27,2.22,2.25,2.25,0.01,0.4444,3.275,62177145,139128454.0,11352884054.2,4290727422.82
2019-02-21,'601975,ST长油,2.25,2.29,2.25,2.27,2.27,-0.02,-0.8811,2.9534,56071856,127103685.0,11302650054.0,4271741903.25
2019-02-20,'601975,ST长油,2.27,2.3,2.26,2.29,2.3,-0.03,-1.3043,2.5108,47668174,108398252.0,11403118054.5,4309712942.39
2019-02-19,'601975,ST长油,2.3,2.37,2.28,2.29,2.3,0.0,0.0,3.5113,66663815,154128833.0,11553820055.2,4366669501.1
2019-02-18,'601975,ST长油,2.3,2.31,2.25,2.27,2.28,0.02,0.8772,3.4519,65535380,149598269.0,11553820055.2,4366669501.1
2019-02-15,'601975,ST长油,2.28,2.34,2.27,2.3,2.27,0.01,0.4405,4.669,88644223,204145964.0,11453352054.7,4328698461.96
2019-02-14,'601975,ST长油,2.27,2.27,2.14,2.15,2.16,0.11,5.0926,4.4093,83713783,185588868.0,11403118054.5,4309712942.39
2019-02-13,'601975,ST长油,2.16,2.18,2.13,2.16,2.15,0.01,0.4651,2.7557,52318066,112463456.0,10850544051.8,4100872227.12
2019-02-12,'601975,ST长油,2.15,2.18,2.13,2.14,2.14,0.01,0.4673,2.4086,45728948,98585374.0,10800310051.6,4081886707.55
2019-02-11,'601975,ST长油,2.14,2.15,2.08,2.09,2.09,0.05,2.3923,2.7528,52263220,111294755.0,10750076051.4,4062901187.98
