日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-03-12,'601865,福莱特,14.54,14.54,14.54,14.54,13.22,1.32,9.9849,0.9468,1420214,20649912.0,28353000000.0,2181000000.0
2019-03-11,'601865,福莱特,13.22,13.22,13.22,13.22,12.02,1.2,9.9834,3.6733,5509935,72841341.0,25779000000.0,1983000000.0
2019-03-08,'601865,福莱特,12.02,12.02,12.02,12.02,10.93,1.09,9.9726,4.4946,6741953,81038275.0,23439000000.0,1803000000.0
2019-03-07,'601865,福莱特,10.93,10.93,10.93,10.93,9.94,0.99,9.9598,0.3088,463125,5061956.0,21313500000.0,1639500000.0
2019-03-06,'601865,福莱特,9.94,9.94,9.94,9.94,9.04,0.9,9.9558,0.8299,1244912,12374425.0,19383000000.0,1491000000.0
2019-03-05,'601865,福莱特,9.04,9.04,9.04,9.04,8.22,0.82,9.9757,2.825,4237480,38306819.0,17628000000.0,1356000000.0
2019-03-04,'601865,福莱特,8.22,8.22,8.22,8.22,7.47,0.75,10.0402,0.3608,541143,4448195.0,16029000000.0,1233000000.0
2019-03-01,'601865,福莱特,7.47,7.47,7.47,7.47,6.79,0.68,10.0147,0.5506,825865,6169212.0,14566500000.0,1120500000.0
2019-02-28,'601865,福莱特,6.79,6.79,6.79,6.79,6.17,0.62,10.0486,0.2374,356044,2417539.0,13240500000.0,1018500000.0
2019-02-27,'601865,福莱特,6.17,6.17,6.17,6.17,5.61,0.56,9.9822,0.3135,470185,2901041.0,12031500000.0,925500000.0
2019-02-26,'601865,福莱特,5.61,5.61,5.61,5.61,5.1,0.51,10.0,0.2262,339366,1903843.0,10939500000.0,841500000.0
2019-02-25,'601865,福莱特,5.1,5.1,5.1,5.1,4.64,0.46,9.9138,0.2728,409141,2086619.0,9945000000.0,765000000.0
2019-02-22,'601865,福莱特,4.64,4.64,4.64,4.64,4.22,0.42,9.9526,0.2714,407038,1888656.0,9048000000.0,696000000.0
2019-02-21,'601865,福莱特,4.22,4.22,4.22,4.22,3.84,0.38,9.8958,0.2804,420555,1774742.0,8229000000.0,633000000.0
2019-02-20,'601865,福莱特,3.84,3.84,3.84,3.84,3.49,0.35,10.0287,0.0551,82600,317184.0,7488000000.0,576000000.0
2019-02-19,'601865,福莱特,3.49,3.49,3.49,3.49,3.17,0.32,10.0946,0.0703,105376,367762.0,6805500000.0,523500000.0
2019-02-18,'601865,福莱特,3.17,3.17,3.17,3.17,2.88,0.29,10.0694,0.0362,54354,172302.0,6181500000.0,475500000.0
2019-02-15,'601865,N福莱特,2.88,2.88,2.88,2.88,2.0,0.88,44.0,0.075,112448,323850.0,5616000000.0,432000000.0
