æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-01 1.0194 1.0534 -0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-28 1.0210 1.0550 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0210 1.0550 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.0210 1.0550 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.0210 1.0550 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0210 1.0550 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0208 1.0548 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0208 1.0548 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0208 1.0548 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0208 1.0548 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0208 1.0548 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.0203 1.0543 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.0203 1.0543 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0203 1.0543 0.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ √ø∑›≈…œ÷Ω0.0265‘™
2019-02-11 1.0452 1.0527 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0452 1.0527 0.24% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0427 1.0502 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0427 1.0502 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.0427 1.0502 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.0427 1.0502 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0427 1.0502 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.0423 1.0498 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.0423 1.0498 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.0423 1.0498 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.0423 1.0498 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0423 1.0498 0.12% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.0411 1.0486 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.0411 1.0486 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.0411 1.0486 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.0411 1.0486 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0411 1.0486 0.30% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.0380 1.0455 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.0380 1.0455 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.0380 1.0455 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.0380 1.0455 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0380 1.0455 0.31% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.0348 1.0423 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.0348 1.0423 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0348 1.0423 0 
2018-12-28 1.0348 1.0423 0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 1.0331 1.0406 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 1.0331 1.0406 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 1.0331 1.0406 0.01% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-24 1.0330 1.0405 -0.01% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-21 1.0331 1.0406 0.04% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-20 1.0327 1.0402 0.08% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-19 1.0319 1.0394 0.06% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-18 1.0313 1.0388 -0.05% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-17 1.0318 1.0393 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 1.0321 1.0396 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-13 1.0322 1.0397 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-12 1.0322 1.0397 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-11 1.0322 1.0397 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-10 1.0322 1.0397 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 1.0322 1.0397 0.12% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-06 1.0310 1.0385 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-05 1.0310 1.0385 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-04 1.0310 1.0385 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-03 1.0310 1.0385 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-30 1.0310 1.0385 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-29 1.0304 1.0379 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-28 1.0304 1.0379 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-27 1.0304 1.0379 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-26 1.0304 1.0379 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-23 1.0304 1.0379 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-22 1.0300 1.0375 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-21 1.0300 1.0375 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-20 1.0300 1.0375 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-19 1.0300 1.0375 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-16 1.0300 1.0375 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-15 1.0286 1.0361 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-14 1.0286 1.0361 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
