æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-04 1.1672 1.1672 1.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-03-01 1.1550 1.1550 0.69% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-28 1.1471 1.1471 -0.25% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.1500 1.1500 -0.58% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.1567 1.1567 -0.63% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.1640 1.1640 7.22% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0856 1.0856 5.43% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0297 1.0297 2.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0091 1.0091 0.48% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0043 1.0043 -0.34% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0077 1.0077 5.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 0.9587 0.9587 -1.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 0.9703 0.9703 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 0.9694 0.9694 2.41% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 0.9466 0.9466 0.56% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 0.9413 0.9413 3.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 0.9121 0.9121 3.40% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 0.8821 0.8821 0.86% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 0.8746 0.8746 -2.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
