æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-04 1.8260 1.9260 0.22% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-03-01 1.8220 1.9220 0.05% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-02-28 1.8210 1.9210 0.00% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-02-27 1.8210 1.9210 -0.22% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-02-26 1.8250 1.9250 -0.22% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-02-25 1.8290 1.9290 0.61% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2019-02-22 1.8180 1.9180 0.22% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.8140 1.9140 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.8120 1.9120 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.8110 1.9110 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.8120 1.9120 0.44% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.8040 1.9040 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.8050 1.9050 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.8030 1.9030 0.28% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.7980 1.8980 0.22% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.7940 1.8940 0.34% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.7880 1.8880 0.28% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.7830 1.8830 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.7820 1.8820 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.7820 1.8820 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.7830 1.8830 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.7840 1.8840 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.7820 1.8820 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.7810 1.8810 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.7810 1.8810 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.7820 1.8820 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.7800 1.8800 0.23% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.7760 1.8760 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.7770 1.8770 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.7770 1.8770 0.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.7740 1.8740 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.7740 1.8740 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.7730 1.8730 0.23% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.7690 1.8690 0.23% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.7650 1.8650 0.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.7620 1.8620 0.40% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.7550 1.8550 0.29% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.7500 1.8500 0.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.7470 1.8470 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.7470 1.8470 0 
2018-12-28 1.7460 1.8460 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
