æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-04 1.0597 1.3669 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-03-01 1.0603 1.3675 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-28 1.0609 1.3681 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0607 1.3679 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.0601 1.3673 -0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.0609 1.3681 -0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0619 1.3691 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0617 1.3689 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0618 1.3690 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0615 1.3687 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0610 1.3682 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0615 1.3687 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.0614 1.3686 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.0617 1.3689 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0614 1.3686 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.0610 1.3682 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0600 1.3672 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0592 1.3664 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0592 1.3664 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.0583 1.3655 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.0579 1.3651 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0577 1.3649 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.0582 1.3654 -0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.0586 1.3658 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.0584 1.3656 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.0581 1.3653 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0581 1.3653 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.0580 1.3652 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.0575 1.3647 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.0565 1.3637 -0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.0574 1.3646 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0573 1.3645 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.0576 1.3648 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.0573 1.3645 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.0575 1.3647 0.51% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.0521 1.3593 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0515 1.3587 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.0508 1.3580 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.0501 1.3573 0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0501 1.3573 0 
2018-12-28 1.0480 1.3552 0.19% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 1.0460 1.3532 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 1.0456 1.3528 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 1.0453 1.3525 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 1.0449 1.3521 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0452 1.3524 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 1.0443 1.3515 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 1.0439 1.3511 0.03% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-18 1.0436 1.3508 -0.01% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-17 1.0437 1.3509 0.02% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-14 1.0435 1.3507 0.00% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-13 1.0435 1.3507 0.00% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-12 1.0435 1.3507 0.05% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-11 1.0430 1.3502 0.02% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-10 1.0428 1.3500 0.02% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-07 1.0426 1.3498 0.00% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-12-06 1.0426 1.3498 0.01% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
