æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-22 1.0963 1.1280 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0948 1.1265 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0905 1.1222 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0892 1.1209 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0904 1.1221 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0883 1.1200 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0828 1.1145 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0772 1.1089 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 1.0771 1.1088 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0726 1.1043 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 1.0728 1.1045 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 1.0726 1.1043 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-30 1.0671 1.0988 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-23 1.0647 1.0964 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-16 1.0628 1.0945 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-09 1.0559 1.0876 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-02 1.0526 1.0843 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-26 1.0496 1.0813 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-19 1.0475 1.0792 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-12 1.0433 1.0750 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-28 1.0383 1.0700 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-21 1.0362 1.0679 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-14 1.0364 1.0681 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-12 1.0358 1.0675 -0.03% ø™∑≈…Íπ∫ ‘›Õ£ Íªÿ
2018-09-11 1.0361 1.0678 -0.01% ø™∑≈…Íπ∫ ‘›Õ£ Íªÿ
2018-09-10 1.0362 1.0679 0.02% ø™∑≈…Íπ∫ ‘›Õ£ Íªÿ
2018-09-07 1.0360 1.0677 0.00% ø™∑≈…Íπ∫ ‘›Õ£ Íªÿ
2018-09-06 1.0360 1.0677 0.00% ø™∑≈…Íπ∫ ‘›Õ£ Íªÿ
2018-09-05 1.0360 1.0677 -0.05% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-09-04 1.0365 1.0682 0.00% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-09-03 1.0365 1.0682 0.05% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-08-31 1.0360 1.0677 0.02% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-08-30 1.0358 1.0675 0.01% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-08-29 1.0357 1.0674 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-24 1.0347 1.0664 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-17 1.0340 1.0657 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-10 1.0364 1.0681 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-03 1.0360 1.0677 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-30 -- √ø∑›≈…œ÷Ω0.0317‘™
2018-07-27 1.0616 1.0616 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-20 1.0576 1.0576 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-13 1.0539 1.0539 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-06 1.0523 1.0523 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-30 1.0480 1.0480 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-29 1.0479 1.0479 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-22 1.0448 1.0448 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-15 1.0416 1.0416 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-08 1.0407 1.0407 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
