æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-01 0.9508 0.9508 0.77% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-28 0.9435 0.9435 0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 0.9416 0.9416 -0.61% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 0.9474 0.9474 -0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 0.9489 0.9489 4.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 0.9114 0.9114 1.21% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 0.9005 0.9005 -0.66% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 0.9065 0.9065 0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 0.9047 0.9047 -0.91% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 0.9130 0.9130 3.13% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 0.8853 0.8853 -1.94% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 0.9028 0.9028 0.27% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 0.9004 0.9004 1.53% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 0.8868 0.8868 1.74% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 0.8716 0.8716 1.92% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 0.8552 0.8552 1.41% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 0.8433 0.8433 0.44% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 0.8396 0.8396 -0.92% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 0.8474 0.8474 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 0.8475 0.8475 -0.41% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 0.8510 0.8510 1.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 0.8422 0.8422 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 0.8410 0.8410 0.30% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 0.8385 0.8385 -0.87% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 0.8459 0.8459 0.40% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 0.8425 0.8425 1.80% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 0.8276 0.8276 -1.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 0.8362 0.8362 0.64% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 0.8309 0.8309 1.81% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 0.8161 0.8161 -1.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 0.8249 0.8249 0.26% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 0.8228 0.8228 -0.32% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 0.8254 0.8254 1.28% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 0.8150 0.8150 -0.26% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 0.8171 0.8171 0.84% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 0.8103 0.8103 2.18% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 0.7930 0.7930 -0.94% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 0.8005 0.8005 -1.62% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 0.8149 0.8149 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 0.8137 0.8137 0.39% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 0.8105 0.8105 -0.60% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 0.8154 0.8154 -0.38% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 0.8185 0.8185 -0.46% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 0.8223 0.8223 0.50% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 0.8182 0.8182 -1.10% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 0.8273 0.8273 -0.42% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 0.8308 0.8308 -1.25% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-18 0.8413 0.8413 -1.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-17 0.8513 0.8513 -0.46% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 0.8552 0.8552 -1.95% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-13 0.8722 0.8722 1.68% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-12 0.8578 0.8578 0.63% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-11 0.8524 0.8524 0.66% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-10 0.8468 0.8468 -1.49% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 0.8596 0.8596 -1.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
