æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-28 1.0758 1.0821 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0758 1.0821 -0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.0762 1.0825 -0.13% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.0776 1.0839 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0776 1.0839 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0775 1.0838 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0775 1.0838 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0772 1.0835 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0774 1.0837 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0772 1.0835 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.0768 1.0831 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.0764 1.0827 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0760 1.0823 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.0754 1.0817 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0742 1.0805 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0737 1.0800 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0730 1.0793 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.0728 1.0791 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.0727 1.0790 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0726 1.0789 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.0727 1.0790 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.0728 1.0791 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.0730 1.0793 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.0730 1.0793 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0730 1.0793 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.0721 1.0784 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.0714 1.0777 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.0709 1.0772 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.0710 1.0773 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0710 1.0773 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.0707 1.0770 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.0702 1.0765 0.10% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.0691 1.0754 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.0681 1.0744 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0669 1.0732 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.0659 1.0722 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.0649 1.0712 0.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0634 1.0697 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 1.0631 1.0694 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 1.0621 1.0684 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 1.0619 1.0682 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 1.0617 1.0680 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 1.0618 1.0681 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0615 1.0678 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 1.0608 1.0671 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 1.0601 1.0664 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-18 1.0600 1.0663 -0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-17 1.0607 1.0670 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 1.0612 1.0675 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-13 1.0617 1.0680 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-12 1.0622 1.0685 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-11 1.0620 1.0683 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
