æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-22 1.0723 1.1015 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0716 1.1008 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0671 1.0963 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0660 1.0952 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0662 1.0954 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0653 1.0945 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0592 1.0884 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0535 1.0827 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 1.0534 1.0826 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0517 1.0809 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 1.0521 1.0813 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 1.0521 1.0813 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-30 1.0493 1.0785 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-23 1.0490 1.0782 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-16 1.0464 1.0756 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-09 1.0430 1.0722 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-02 1.0412 1.0704 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-26 1.0394 1.0686 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-19 1.0378 1.0670 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-15 1.0363 1.0655 0.10% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-10-12 1.0353 1.0645 0.08% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-10-11 1.0345 1.0637 0.12% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-10-10 1.0333 1.0625 0.07% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-10-09 1.0326 1.0618 0.04% ø™∑≈…Íπ∫ ø™∑≈ Íªÿ
2018-10-08 1.0322 1.0614 0.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-28 1.0307 1.0599 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-21 1.0291 1.0583 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-14 1.0281 1.0573 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-07 1.0284 1.0576 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-31 1.0280 1.0572 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-24 1.0271 1.0563 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-17 1.0268 1.0560 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-10 1.0290 1.0582 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-07 1.0316 1.0608 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-06 1.0477 1.0597 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-03 1.0466 1.0586 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-27 1.0421 1.0541 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-20 1.0399 1.0519 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-13 1.0368 1.0488 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-07-06 1.0360 1.0480 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-30 1.0317 1.0437 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-29 1.0316 1.0436 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-22 1.0286 1.0406 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-06-15 1.0272 1.0392 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
