æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-28 1.0797 1.0987 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0796 1.0986 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.0803 1.0993 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.0809 1.0999 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0808 1.0998 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0808 1.0998 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0806 1.0996 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0804 1.0994 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0807 1.0997 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0800 1.0990 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.0797 1.0987 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.0795 1.0985 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0791 1.0981 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.0787 1.0977 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0775 1.0965 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0773 1.0963 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0769 1.0959 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.0768 1.0958 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.0767 1.0957 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0768 1.0958 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.0766 1.0956 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.0767 1.0957 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.0768 1.0958 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.0767 1.0957 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0758 1.0948 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.0754 1.0944 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.0753 1.0943 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.0749 1.0939 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.0748 1.0938 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0748 1.0938 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.0746 1.0936 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.0738 1.0928 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.0733 1.0923 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.0725 1.0915 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0715 1.0905 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.0709 1.0899 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.0699 1.0889 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0686 1.0876 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 1.0684 1.0874 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 1.0676 1.0866 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 1.0675 1.0865 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 1.0676 1.0866 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 1.0673 1.0863 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0670 1.0860 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 1.0666 1.0856 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 1.0663 1.0853 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-18 1.0664 1.0854 -0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-17 1.0671 1.0861 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
