æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-28 1.0168 1.0615 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0167 1.0614 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.0163 1.0610 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.0162 1.0609 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.0157 1.0604 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0156 1.0603 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0153 1.0600 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.0152 1.0599 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.0148 1.0595 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.0145 1.0592 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.0144 1.0591 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.0143 1.0590 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0142 1.0589 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.0141 1.0588 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0133 1.0580 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0132 1.0579 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0131 1.0578 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
