æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-28 1.1130 1.1130 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.1120 1.1120 -0.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.1137 1.1137 -0.24% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.1164 1.1164 0.60% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.1097 1.1097 0.29% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.1065 1.1065 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.1058 1.1058 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.1054 1.1054 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.1060 1.1060 0.25% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.1032 1.1032 -0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.1044 1.1044 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.1042 1.1042 0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.1024 1.1024 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.1016 1.1016 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.1001 1.1001 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0991 1.0991 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
