æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-03-01 0.9021 0.9021 0.55% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-28 0.8972 0.8972 0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 0.8954 0.8954 -0.69% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 0.9016 0.9016 -1.12% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 0.9118 0.9118 3.91% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 0.8775 0.8775 1.36% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 0.8657 0.8657 0.31% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 0.8630 0.8630 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 0.8623 0.8623 -0.66% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 0.8680 0.8680 3.78% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 0.8364 0.8364 -1.34% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 0.8478 0.8478 0.71% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 0.8418 0.8418 2.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 0.8252 0.8252 1.48% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 0.8132 0.8132 2.83% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 0.7908 0.7908 3.31% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 0.7655 0.7655 -1.78% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 0.7794 0.7794 -0.94% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 0.7868 0.7868 -0.54% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 0.7911 0.7911 0.13% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 0.7901 0.7901 0.18% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 0.7887 0.7887 0.64% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 0.7837 0.7837 0.29% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 0.7814 0.7814 -0.99% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 0.7892 0.7892 1.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 0.7812 0.7812 0.97% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 0.7737 0.7737 -0.60% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 0.7784 0.7784 0.41% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 0.7752 0.7752 1.39% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 0.7646 0.7646 -0.91% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 0.7716 0.7716 0.47% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 0.7680 0.7680 -0.65% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 0.7730 0.7730 0.87% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 0.7663 0.7663 -0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 0.7678 0.7678 0.95% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 0.7606 0.7606 1.62% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 0.7485 0.7485 -0.85% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 0.7549 0.7549 -1.38% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 0.7654 0.7654 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 0.7655 0.7655 0.53% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 0.7615 0.7615 -0.96% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 0.7689 0.7689 -0.70% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 0.7743 0.7743 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 0.7747 0.7747 1.43% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 0.7638 0.7638 -1.27% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 0.7736 0.7736 -0.39% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 0.7766 0.7766 -2.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-18 0.7937 0.7937 -0.96% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-17 0.8014 0.8014 -1.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 0.8106 0.8106 -2.29% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-13 0.8296 0.8296 1.13% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-12 0.8203 0.8203 -0.26% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-11 0.8224 0.8224 1.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-10 0.8142 0.8142 -0.61% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 0.8192 0.8192 -1.55% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-06 0.8321 0.8321 -2.31% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-05 0.8518 0.8518 0.19% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-04 0.8502 0.8502 0.59% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-03 0.8452 0.8452 3.33% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
